nombre,poblacion
Almoloya de Alquisiras,15645
Almoloya de Juarez,188124
Jaltenco,29179
Jilotepec,94893
Jilotzingo,20713
Jiquipilco,79263
Jocotitlan,70471
Joquicingo,14710
Juchitepec,27241
Almoloya del Rio,12169
Amanalco,25851
Amatepec,28414
Amecameca,54548
Apaxco,31576
Atenco,70016
Atizapan,12511
Coacalco de Berriozabal,310743
Malinalco,29515
Cocotitlan,15387
Coyotepec,44201
Cuautitlan,175004
Chalco,397344
Chapa de Mota,30328
Nezahualcoyotl,1135786
San Agustin Tlacotepec,980
Chapultepec,12986
Ocuilan,36629
El Oro,39551
Otumba,38186
