Año,Mes, Siniestro ocurrido 
2019,10," 196,535.91 "
2018,8," 298,859.49 "
2018,12," 354,886.14 "
2019,1," 173,551.12 "
2017,5," 946,507.84 "
2020,1," 252,169.38 "
2020,5," 2,927,350.56 "
2017,2," 2,393,102.34 "
2017,9," 579,495.73 "
2018,7," 689,441.92 "
2019,8," 128,598.73 "
2020,8," 110,203.63 "
2019,1," 160,530.54 "
2019,4," 286,014.29 "
2017,2," 1,244,945.21 "
2016,10," 271,862.44 "
2019,2," 108,476.55 "
2020,6," 219,574.08 "
2018,10," 553,292.26 "
2019,11," 282,406.76 "
2019,1," 255,578.37 "
2017,9," 238,853.27 "
2018,4," 375,856.84 "
2016,12," 494,215.65 "
2018,6," 871,341.32 "
2020,5," 91,083.88 "
2018,7," 332,333.10 "
2018,7," 29,469.85 "
2017,1," 724,095.62 "
2019,10," 254,810.13 "
2018,3," 64,462.83 "
2019,11," 193,110.50 "
2017,1," 720,623.12 "
2019,3," 548,089.57 "
2019,12," 5,715,241.57 "
2020,9," 130,671.83 "
2019,1," 159,769.55 "
2018,6," 457,579.15 "
2018,11," 100,199.77 "
2018,12," 210,312.33 "
2019,10," 203,640.58 "
2018,2," 352,483.47 "
2017,8," 1,146,449.40 "
2017,1," 257,587.32 "
2017,11," 189,836.14 "
2019,4," 531,197.38 "
2017,6," 36,222.05 "
2020,2," 599,647.22 "
2016,9," 1,505,074.97 "
2020,7," 115,402.70 "
2016,7," 416,707.30 "
2018,5," 128,640.71 "
2019,4," 128,104.66 "
2018,11," 90,587.00 "
2018,4," 671,308.26 "
2019,10," 197,632.44 "
2018,12," 378,940.05 "
2019,2," 285,328.95 "
2019,3," 12,199.87 "
2017,5," 1,097,761.54 "
2020,1," 428,511.16 "
2019,9," 210,878.33 "
2017,3," 539,428.96 "
2020,9," 276,376.60 "
2019,7," 233,568.85 "
2019,2," 1,122,027.09 "
2019,8," 88,681.97 "
2019,2," 277,171.50 "
2017,9," 837,566.95 "
2020,5," 348,635.51 "
2019,12," 285,705.54 "
2019,2," 77,410.48 "
2018,5," 282,051.67 "
2018,10," 107,601.21 "
2020,8," 55,340.10 "
2016,7," 777,720.27 "
2018,6," 764,454.50 "
2018,11," 42,447.35 "
2016,11," 1,276,512.15 "
2019,2," 323,973.34 "
2016,1," 143,045.96 "
2018,5," 121,349.57 "
2018,8," 508,973.30 "
2020,6," 360,097.42 "
2020,2," 102,279.65 "
2017,10," 639,829.72 "
2018,7," 556,439.05 "
2019,9," 211,785.72 "
2019,7," 69,132.00 "
2019,9," 349,020.86 "
2019,10," 876,180.23 "
2018,11," 55,274.77 "
2020,2," 800,242.92 "
2019,5," 837,164.31 "
2018,6," 221,531.21 "
